date,T_AMB,P_AMB,CMP_SPEED,CDP,GGDP,HPT_IT,CDT,LPT_IT,EXH_T,RH,WAR,POWER,SAMPLE
01/01/2021,1.450440334,0.843521711,0,0.843521711,0.843521711,,1.450440334,,,81.23744071,4.09E-05,,data 1
02/01/2021,2.761142426,0.843855778,7870.729713,7.907586752,2.448489741,949.2636904,258.9333672,625.6777224,387.749872,74.31131315,4.08E-05,13332.69241,data 1
03/01/2021,9.27032469,0.84341341,9898.625866,9.407523273,2.816769212,984.6015771,338.0147649,655.8571369,413.0394672,47.89718181,4.09E-05,13026.68497,data 1
04/01/2021,14.29326528,0.844249095,9850.791469,9.121783981,2.775070069,1014.536922,347.1290999,681.7010875,434.895488,34.40072925,4.11E-05,12773.50704,data 1
05/01/2021,12.87521339,0.843662699,9828.508458,9.138088482,2.776577328,1008.503746,344.3602112,677.0187481,431.2689897,37.53788243,4.08E-05,12768.09278,data 1
06/01/2021,6.42879335,0.843476389,9811.063997,9.382896068,2.813156986,974.2664925,332.1600035,648.5352824,407.8626742,58.30239153,4.10E-05,12945.08706,data 1
07/01/2021,1.300094907,0.843867194,9811.444072,9.620761106,2.849320332,945.9480733,322.4052412,624.842927,388.3155693,82.12396864,4.09E-05,13123.35191,data 1
08/01/2021,2.796507061,0.843907186,9757.687941,9.460768426,2.825562856,956.4416857,324.690984,634.5472087,396.9224823,73.98963998,4.07E-05,12952.97549,data 1
09/01/2021,9.294145095,0.843746985,9793.010183,9.23626073,2.791597313,991.1632134,337.5194977,662.9378608,419.9225822,48.10343974,4.10E-05,12818.38158,data 1
10/01/2021,14.4203918,0.843828814,9824.345839,9.074311871,2.767151099,1018.880861,347.7312798,685.5699731,438.2450024,34.04788583,4.10E-05,12729.79948,data 1
11/01/2021,12.9844654,0.843622874,9800.71322,9.088747297,2.769009639,1012.658928,344.8977667,680.7456267,434.5113767,37.28185004,4.08E-05,12726.73337,data 1
12/01/2021,6.421130791,0.8433781,9720.835435,9.229298021,2.789929268,980.5840902,331.8494763,655.1557447,414.1983812,58.09179367,4.08E-05,12768.78187,data 1
13/01/2021,1.296606902,0.843653756,9678.629511,9.380495916,2.813160873,954.8197599,321.790424,634.3259428,397.4794491,82.02202522,4.08E-05,12854.62566,data 1
14/01/2021,2.63343794,0.843769645,9674.449406,9.313446668,2.803245576,963.1405754,324.3467128,641.4273006,403.4329817,74.93820492,4.07E-05,12806.91934,data 1
15/01/2021,9.191548277,0.843179063,9678.870368,9.034364434,2.759970653,1000.202488,337.0144221,672.3796145,428.9551546,48.25671671,4.09E-05,12600.67504,data 1
16/01/2021,14.24216007,0.844073079,9714.857764,8.894996827,2.74007281,1026.617392,346.9052258,693.9543266,446.4333599,33.85017256,4.03E-05,12529.91092,data 1
17/01/2021,12.85640227,0.843559867,9767.116147,9.03733503,2.761042294,1017.471147,345.0952709,685.2322779,438.5211491,37.4210698,4.06E-05,12690.15277,data 1
18/01/2021,6.272795043,0.84365804,9737.734914,9.26576784,2.795869021,982.9810888,332.3688048,656.885079,415.4460513,58.42789702,4.06E-05,12845.75134,data 1
19/01/2021,1.304781833,0.844172445,9724.519121,9.470447529,2.827484784,956.4425378,322.8854053,634.8619143,397.3857586,81.93564112,4.08E-05,12994.06272,data 1
20/01/2021,2.523999662,0.84357389,9715.302994,9.396546068,2.815414578,964.4478402,325.2972139,641.6746259,403.0832996,75.3083362,4.07E-05,12931.20026,data 1
21/01/2021,9.173915541,0.844108376,9685.43722,9.061391723,2.765586216,1003.225979,337.6967779,674.7031162,430.7397492,47.8474474,4.05E-05,12657.79159,data 1
22/01/2021,14.2408757,0.843683216,9655.892172,8.795112493,2.724017949,1032.895835,346.8129215,700.3237897,452.4381248,34.84054514,4.15E-05,12421.04553,data 1
23/01/2021,12.84183691,0.843801363,9538.463797,8.657697249,2.702836237,1029.975124,342.7911885,700.0257728,453.6194262,37.13607702,4.02E-05,12207.37839,data 1
24/01/2021,6.33111454,0.843585953,9539.439215,8.92170723,2.743286561,993.873453,330.6526837,669.5518838,428.2506971,58.31864274,4.08E-05,12417.89241,data 1
25/01/2021,1.259758561,0.843687293,9550.963173,9.158482441,2.779725822,964.7725779,321.1658743,644.8664621,407.6311374,81.86160314,4.06E-05,12608.33111,data 1
26/01/2021,2.706625932,0.843513795,9519.623599,9.040383467,2.761429707,973.9445416,323.5527612,653.0984064,414.7990375,73.96030765,4.05E-05,12487.23009,data 1
27/01/2021,9.098913051,0.843495254,9506.056738,8.749164621,2.716571774,1011.108233,335.6169275,684.5902181,441.0888704,48.41953122,4.08E-05,12257.63169,data 1
28/01/2021,14.08377605,0.843697228,9483.331583,8.51544672,2.680373214,1040.025606,344.7282085,709.3811735,461.9900312,34.27016574,4.04E-05,12054.87306,data 1
29/01/2021,12.76581301,0.843740669,9483.735114,8.563970108,2.688048874,1032.643335,342.3187907,703.0903577,456.7101375,37.57288817,4.05E-05,12098.88417,data 1
30/01/2021,6.252657602,0.843967968,9539.988082,8.921198869,2.743897543,994.485573,330.8688343,669.8693963,428.3822532,58.0132506,4.03E-05,12439.37799,data 1
31/01/2021,1.120976276,0.843957829,9525.949865,9.112622638,2.773201819,966.7966807,321.1049046,646.8127524,409.4048379,82.50183644,4.06E-05,12579.22961,data 1
01/02/2021,2.715549901,0.843526577,9279.978991,8.619347112,2.696316038,985.7573738,321.2433241,667.2295995,429.2983956,73.89382106,4.05E-05,11969.61192,data 1
02/02/2021,9.045933266,0.84388077,9304.643739,8.412668129,2.664420696,1020.455398,333.4680823,696.0332488,452.9736516,48.4397058,4.06E-05,11832.41785,data 1
03/02/2021,14.17662556,0.843401041,9351.876676,8.286133965,2.643574866,1047.555095,343.5106102,718.2211108,471.0108644,33.88706782,4.02E-05,11769.49485,data 1
04/02/2021,12.71887475,0.84378184,9399.90457,8.420478896,2.665507075,1038.682747,341.6680106,709.7336109,463.2709434,37.71657151,4.06E-05,11935.9527,data 1
05/02/2021,6.283785053,0.843594334,9364.824786,8.613387004,2.695577458,1005.003955,329.2976458,681.9900943,440.6083427,57.88228012,4.03E-05,12062.79026,data 1
06/02/2021,1.146901,0.84393344,9373.501571,8.842504464,2.731742483,976.7803665,319.8857257,658.0415418,420.5831549,82.18109471,4.05E-05,12259.11927,data 1
07/02/2021,2.568430285,0.843269635,9372.733872,8.77007413,2.719459191,985.9512408,322.7222201,665.797451,427.0501653,74.50632188,4.04E-05,12209.67168,data 1
08/02/2021,9.087579527,0.844021032,9401.380624,8.560998004,2.688034847,1021.853623,335.3808945,695.5603083,451.4816803,48.19468401,4.05E-05,12079.30461,data 1
09/02/2021,14.0327501,0.843886345,9365.446624,8.308025287,2.647816322,1051.003474,344.0867318,720.949492,473.1642452,34.0798281,4.01E-05,11841.01296,data 1
10/02/2021,12.75151349,0.843739167,9380.105128,8.374286432,2.658119712,1042.991016,341.810541,713.931988,467.1443624,37.62073079,4.05E-05,11908.5514,data 1
11/02/2021,6.157828965,0.843844456,9411.3494,8.680397032,2.70640699,1004.81472,329.8350743,681.1374749,439.4413424,58.75180758,4.05E-05,12187.67892,data 1
12/02/2021,1.18401973,0.843831268,9388.230793,8.841382305,2.731413415,977.9979039,320.1112558,659.0706678,421.440526,81.81997168,4.04E-05,12294.46748,data 1
13/02/2021,2.595346453,0.843741511,2342.685832,2.837922735,1.31479825,977.5488048,82.22159343,659.0438169,421.6499296,74.61310168,4.05E-05,12263.06612,data 1
14/02/2021,9.082138409,0.843767463,0,0.843767463,0.843767463,,9.082138409,,,47.86492874,4.03E-05,,data 1
15/02/2021,14.02067542,0.843930271,0,0.843930271,0.843930271,,14.02067542,,,34.6672873,4.07E-05,,data 1
16/02/2021,12.60253695,0.843365285,0,0.843365285,0.843365285,,12.60253695,,,37.73864929,4.03E-05,,data 1
17/02/2021,6.172032162,0.844004378,0,0.844004378,0.844004378,,6.172032162,,,58.58153782,4.04E-05,,data 1
18/02/2021,1.130096479,0.84328239,7910.198766,8.024983059,2.464901637,953.2269052,258.681384,627.8989631,388.872652,82.52064694,4.06E-05,13686.0827,data 1
19/02/2021,2.564603425,0.843828853,9977.960906,9.813451905,2.877623465,963.8560275,329.4654143,636.9552166,396.4445486,74.57493875,4.04E-05,13604.55028,data 1
20/02/2021,9.056350865,0.844029024,9961.794925,9.488106135,2.829824345,1001.505601,341.8470719,668.7148798,422.811979,48.18248089,4.04E-05,13353.74001,data 1
21/02/2021,14.03162237,0.843719457,9756.609287,8.918227207,2.743068002,1037.889363,348.914553,703.0064328,453.664052,34.24493512,4.02E-05,12719.13524,data 1
22/02/2021,12.74314267,0.843730086,9780.670407,9.005382565,2.756449334,1030.659096,346.9161816,696.486057,447.9638525,37.22667805,4.00E-05,12822.57689,data 1
23/02/2021,6.070767694,0.843818192,9799.194096,9.3143025,2.803464496,992.5045457,334.32152,664.2537934,421.1365978,58.95744324,4.04E-05,13083.85546,data 1
24/02/2021,0.945732956,0.843855166,9784.855658,9.517261477,2.833929378,965.0231152,324.5071755,641.4616727,402.4540195,83.81459756,4.06E-05,13231.59728,data 1
25/02/2021,2.474334104,0.843469049,9841.281553,9.541650373,2.83690499,971.3130829,327.9888062,645.7986108,405.4293178,74.98353822,4.04E-05,13301.10668,data 1
26/02/2021,8.870537038,0.84361571,9889.932244,9.343440838,2.807504929,1005.000822,340.7653277,673.1060316,427.3946907,48.93446158,4.05E-05,13197.40312,data 1
27/02/2021,14.04151577,0.843502713,9899.343854,9.134718688,2.775813244,1033.386234,350.6299432,696.797807,446.921053,33.9320574,3.99E-05,13041.90858,data 1
28/02/2021,12.62235353,0.843016795,9909.35144,9.204884743,2.785645856,1024.703517,347.8507089,689.4751619,440.8346927,37.91294244,4.06E-05,13097.72744,data 1
01/03/2021,6.08916041,0.84353046,9933.161401,9.537977402,2.83640937,988.5303312,335.8992246,658.720267,415.1261526,58.75354409,4.04E-05,13391.86012,data 1
02/03/2021,0.930292014,0.844044711,9951.060879,9.811507054,2.877723875,960.051396,326.4027515,634.5789365,395.0070021,82.42372118,3.99E-05,13629.44505,data 1
03/03/2021,2.403541762,0.843898764,9920.717306,9.683389313,2.858619343,969.4716241,328.9441351,642.9310307,402.2004494,74.62717591,4.00E-05,13506.23466,data 1
04/03/2021,8.869552067,0.843137815,9885.98066,9.323011204,2.803623317,1006.882976,340.900854,674.851674,428.9484443,48.10963635,3.99E-05,13192.04116,data 1
05/03/2021,14.01997912,0.843362846,9867.615327,9.076095158,2.76665932,1036.831114,350.5772179,700.2738748,450.1843372,33.81737045,3.97E-05,12985.60774,data 1
06/03/2021,12.62829347,0.843599345,9943.309077,9.260917686,2.795012561,1025.931145,348.7111076,689.848331,440.7150947,37.64782346,4.02E-05,13205.05803,data 1
